fecha,trm,inflacion,desempleo,colcap
2008-02-01,1843.59,6.35,12.19,9149.0
2008-03-01,182.16,5.93,11.34,88928.0
2008-04-01,1780.21,5.73,11.08,98595.0
2008-05-01,1744.01,6.39,10.81,101978.0
2008-06-01,1923.02,7.18,11.41,94531.0
2008-07-01,1792.24,7.52,12.21,94487.0
2008-08-01,193.22,7.87,11.43,99225.0
2008-09-01,2174.62,7.57,11.05,97353.0
2008-10-01,2359.52,7.94,10.18,78873.0
2008-11-01,231.8,7.73,10.91,80311.0
2008-12-01,2243.59,7.67,10.77,85135.0
2009-01-01,2420.26,7.18,14.47,8698.0
2009-02-01,2555.89,6.47,12.77,85216.0
2009-03-01,2561.21,6.14,12.19,87421.0
2009-04-01,2289.73,5.73,12.12,93193.0
2009-05-01,2140.66,4.77,11.76,103153.0
2009-06-01,2158.67,3.81,11.6,110273.0
2009-07-01,2043.37,3.28,12.84,115622.0
2009-08-01,203.5,3.13,11.94,120909.0
2009-09-01,192.2,3.21,12.44,132893.0
2009-10-01,199.38,2.72,11.76,125717.0
2009-11-01,1997.47,2.37,11.39,131805.0
2009-12-01,2044.23,2.0,11.31,136685.0
2010-01-01,1982.29,2.1,14.88,136367.0
2010-02-01,1932.32,2.09,12.69,139102.0
2010-03-01,1928.59,1.84,11.96,144058.0
2010-04-01,1969.75,1.98,12.44,146726.0
2010-05-01,1971.55,2.07,12.26,144454.0
2010-06-01,1916.46,2.25,11.98,146678.0
2010-07-01,1842.79,2.24,12.86,157162.0
2010-08-01,1823.74,2.31,11.38,166418.0
2010-09-01,1799.89,2.28,10.87,17695.0
2010-10-01,1831.64,2.33,10.45,190183.0
2010-11-01,1916.96,2.59,10.93,177994.0
2010-12-01,1913.98,3.17,11.23,18237.0
2011-01-01,1857.98,3.4,13.9,176243.0
2011-02-01,1895.56,3.17,13.14,175097.0
2011-03-01,1879.47,3.19,10.95,171845.0
2011-04-01,1768.19,2.84,11.27,170068.0
2011-05-01,1817.34,3.02,11.55,17604.0
2011-06-01,1780.16,3.23,11.04,170043.0
2011-07-01,1777.82,3.42,11.7,165939.0
2011-08-01,1783.66,3.27,10.42,164253.0
2011-09-01,191.51,3.73,9.93,158475.0
2011-10-01,1863.06,4.02,9.36,162223.0
2011-11-01,1967.18,3.96,9.49,156107.0
2011-12-01,194.27,3.73,10.07,157155.0
2012-01-01,1815.08,3.54,12.79,163362.0
2012-02-01,1767.83,3.55,12.07,173046.0
2012-03-01,1792.07,3.4,10.5,174363.0
2012-04-01,176.12,3.43,11.09,178566.0
2012-05-01,1827.83,3.44,10.99,172655.0
2012-06-01,178.46,3.2,10.24,164001.0
2012-07-01,1789.02,3.03,11.16,167387.0
2012-08-01,183.05,3.11,9.99,16685.0
2012-09-01,1800.52,3.08,10.14,168108.0
2012-10-01,1829.89,3.06,9.17,180993.0
2012-11-01,1817.93,2.77,9.46,175953.0
2012-12-01,1768.23,2.44,9.94,183275.0
2013-01-01,1773.24,2.0,12.34,186621.0
2013-02-01,1816.42,1.83,12.01,184449.0
2013-03-01,183.22,1.91,10.38,177486.0
2013-04-01,1828.79,2.02,10.45,168488.0
2013-05-01,1891.48,2.0,9.82,166625.0
2013-06-01,192.9,2.16,9.51,161584.0
2013-07-01,1890.33,2.22,10.16,16807.0
